id,question,rewritten_question,context,answer,strategy
565,Did ford attend the University of Michigan?,Did Ford graduate from the University of Michigan?,"Ford as a University of Michigan football player, 1933",no,384d_enhanced_top1
567,What positions Ford played in the school football team?,What position did Ford play in the school football team?,"Ford as a University of Michigan football player, 1933",quarterback,384d_enhanced_top1
569,What did Ford say about his biological father?,What did Ford say about his biological father?,"Ford was not aware of his biological parentage until he was 17, when his parents told him about the circumstances of his birth. That same year his biological father, whom he described as a ""carefree, well-to-do man"", approached Ford while he was waiting tables in a Grand Rapids restaurant. The two ""maintained a sporadic contact"" until Leslie King, Sr.'s death, Associated Press. Nebraska - Born, Ford Left State As Infant. The New York Times (December 27, 2006).  Retrieved on December 31, 2006.     but Ford maintained his distance emotionally, saying, ""My stepfather was a magnificent person and my mother equally wonderful. So I couldn't have written a better prescription for a superb family upbringing.""","carefree, well-to-do man",384d_enhanced_top1
571,Who did Ford nominate for Vice President?,Who did Ford nominate for Vice President?,"Gerald Rudolph Ford, Jr. (July 14, 1913   December 26, 2006) was the thirty-eighth President of the United States, serving from 1974 to 1977, and the fortieth Vice President of the United States serving from 1973 to 1974. He was the first person appointed to the vice presidency under the terms of the 25th Amendment, and became President upon Richard Nixon's resignation on August 9, 1974.",Richard Nixon,384d_enhanced_top1
573,Was Ford active about Vietnamese affairs?,How many years did Ford serve in Vietnam?,"Ford in Navy uniform, 1945",2,384d_enhanced_top1
574,hard,What is the hardest part of a job interview?,Travel,interviewing for a job,384d_enhanced_top1
576,Had Ford's wife married before?,Did Ford's wife have a child?,The Fords had four children:,yes,384d_enhanced_top1
578,Is Ford related with the assassination of John F. Kennedy?,Is Ford related to the assassination of John F. Kennedy?,Gerald R. Ford,yes,384d_enhanced_top1
579,Was Gerald Ford the 38th President of the United States?,Gerald Ford was the 38th President of the United States.,"Gerald Ford is sworn in as the 38th President of the United States by Chief Justice Warren Burger in the White House East Room, while Betty Ford looks on.",yes,384d_enhanced_top1
581,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,"Prior to 1973, Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives; he was originally elected to Congress in 1948 from Michigan's 5th congressional district.",yes,384d_enhanced_top1
583,Was Ford an Eagle Scout?,Who was the first Eagle Scout?,Eagle Scout Gerald Ford (circled in red) in 1929.,Gerald Ford,384d_enhanced_top1
585,What district was Ford elected from?,What district was Ford elected from?,"Prior to 1973, Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives; he was originally elected to Congress in 1948 from Michigan's 5th congressional district.",Michigan's 5th congressional district,384d_enhanced_top1
587,How many Eagle Scouts were involved in Ford's funeral procession?,How many Eagle Scouts were involved in Ford's funeral procession?,"Ford joined the Boy Scouts of America, and attained that program's highest rank, Eagle Scout. He always regarded this as one of his proudest accomplishments, even after attaining the White House.     In subsequent years, Ford received the Distinguished Eagle Scout Award in May 1970 and Silver Buffalo Award from the Boy Scouts of America. He is the only US president who was an Eagle Scout.    Scouting was so important to Ford that his family asked that Scouts participate in his funeral. About 400 Eagle Scouts were part of the funeral procession, where they formed an honor guard as the casket went by in front of the museum, and served as ushers.",400,384d_enhanced_top1
589,Which future Heisman Trophy winner did Ford tackle?,Who is the current Heisman Trophy winner?,"During the same season, in a game against the University of Chicago, Ford âbecame the only future U.S. president to tackle a future Heisman Trophy winner when he brought down running back Jay Berwanger, who would win the first Heisman the following year.â    In 1934 Gerald Ford was selected for the Eastern Team on the Shrinerâs East West Crippled Children game at San Francisco (a benefit for crippled children), played on January 1 1935. As part of the 1935 Collegiate All-Star football team, Ford played against the Chicago Bears in an exhibition game at Soldier Field.",Jay Berwanger,384d_enhanced_top1
591,Has another US President been an Eagle Scout?,Who was the first US President to be an Eagle Scout?,Eagle Scout Gerald Ford (circled in red) in 1929.,gerald ford,384d_enhanced_top1
593,Did Ford need to do extra work to pay for college?,Did Ford need to do extra work to pay for college?,"At Michigan, Ford became a member of the Delta Kappa Epsilon fraternity and washed dishes at his fraternity house to earn money for college expenses. Following his graduation in 1935 with a degree in political science and economics, he turned down contract offers from the Detroit Lions and Green Bay Packers of the National Football League in order to take a coaching position at Yale and apply to its law school. Each team was offering him a contract of $200 a game, but he wanted a legal education.     Ford continued to contribute to football and boxing, accepting an assistant coaching job for both at Yale in September 1935.","he turned down contract offers from the Detroit Lions and Green Bay Packers of the National Football League in order to take a coaching position at Yale and apply to its law school. Each team was offering him a contract of $200 a game, but he wanted a legal education. Ford continued to contribute to football and boxing, accepting an assistant coaching job for both at Yale in September 1935. Ford continued to contribute to football and boxing, accepting an assistant coaching job for both at Yale in September 1935.",384d_enhanced_top1
595,Have more than five Presidents lived past the age of 90?,Have more than five Presidents lived past the age of 90?,"*Ford is one of only four former Presidents to live to 90 or more years of age. The others are Ronald Reagan (93), John Adams (90) and Herbert Hoover (90).",yes,384d_enhanced_top1
597,How do kwajalein and eniwetok relate?,What is the difference between kwajalein and eniwetok?,"Eduskuntatalo, the main building of the Parliament of Finland (Eduskunta) in Helsinki.","Eduskuntatalo, the main building of the Parliament of Finland (Eduskunta) in Helsinki",384d_enhanced_top1
598,"What did Ford receive on April 13, 1942?","What did Ford receive on April 13, 1942?","The Fords on their wedding day, October 15, 1948",grenade launcher,384d_enhanced_top1
599,Was Ford released from the hospital?,When was Ford released from the hospital?,* ABC News Special Report - Announcement of President Ford's death.,"April 15, 2015",384d_enhanced_top1
600,"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",What is the name of the place where Ford was interred?,"President Ford's tomb at his Presidential Museum in Grand Rapids, Michigan.",Presidential Museum,384d_enhanced_top1
601,Is Ford one of only four former Presidents to live to 90 or more years of age ?,Is Ford one of only four former Presidents to live to 90 or more years of age ?,"*Ford is one of only four former Presidents to live to 90 or more years of age. The others are Ronald Reagan (93), John Adams (90) and Herbert Hoover (90).",yes,384d_enhanced_top1
602,Was Ford the last surviving member of the Warren Commission ?,Who was the last surviving member of the Warren Commission ?,"*Ford was the last surviving member of the Warren Commission. Wilson, Jeff.  Former President Gerald Ford Dies at 93. Associated Press. December 27, 2006. Also available  here.  Retrieved on December 31, 2006.",Ford was the last surviving member of the Warren Commission.,384d_enhanced_top1
603,"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",Did Grand Rapids supporter Bartel J. Jonkman ?,"Following his return from the war, Ford became active in local Republican politics. Grand Rapids supporters urged him to take on Bartel J. Jonkman, the incumbent Republican congressman. Ford had changed his view of the world as a result of his military service; ""I came back a converted internationalist"", Ford stated, ""and of course our congressman at that time was an avowed, dedicated isolationist. And I thought he ought to be replaced. Nobody thought I could win. I ended up winning two to one."" ","Ford became active in local Republican politics. Grand Rapids supporters urged him to take on Bartel J. Jonkman, the incumbent Republican congressman. Ford had changed his view of the world as a result of his military service; ""I came back a converted internationalist"", Ford stated, ""and of course our congressman at that time was an avowed, dedicated isolationist. And I thought he ought to be replaced. Nobody thought I could win. I ended up winning two to one.""",384d_enhanced_top1
604,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,Did they claim that Ford 's pardon was a quid pro quo in exchange for Nixon 's resignation ?,"The Nixon pardon was highly controversial. Critics derided the move and claimed, a ""corrupt bargain"" had been struck between the men.  They claimed Ford's pardon was quid pro quo in exchange for Nixon's resignation that elevated Ford to the Presidency. Nixon's Chief of Staff, Alexander Haig, did in fact offer a deal to Ford. Bob Woodward, in his book Shadow, recounts that Haig entered Ford's office on August 1, 1974 while Ford was still Vice President and Nixon had yet to resign. Haig told Ford that there were three pardon options: (1) Nixon could pardon himself and resign, (2) Nixon could pardon his aides involved in Watergate and then resign, or (3) Nixon could agree to leave in return for an agreement that the new president would pardon him. After listing these options, Haig handed Ford various papers; one of these papers included a discussion of the president's legal authority to pardon and another sheet was a draft pardon form that only needed Ford's signature and Nixon's name to make it legal. Woodward summarizes the setting between Haig and Ford as follows: ""Even if Haig offered no direct words on his views, the message was almost certainly sent. An emotional man, Haig was incapable of concealing his feelings; those who worked closely with him rarely found him ambiguous.""",They claimed Ford's pardon was quid pro quo in exchange for Nixon's resignation that elevated Ford to the Presidency,384d_enhanced_top1
605,Does Ghana have twice the per capita output of the poorer countries in West Africa?,Ghana has the highest per capita output of any country in West Africa. Ghana has the highest per capita output of any country in West Africa. Ghana has the lowest per capita output of any country in West Africa.,"Well endowed with natural resources, Ghana has twice the per capita output of the poorer countries in West Africa. Even so, Ghana remains heavily dependent on international financial and technical assistance. Gold, timber, cocoa, diamond, bauxite, and manganese exports are major sources of foreign exchange.  The World Factbook   An oilfield which is reported to contain up to 3 billion barrels of light oil was discovered in 2007.",Ghana has the highest per capita output of any country in West Africa,384d_enhanced_top1
607,Is English Ghana's official language?,Is English Ghana's official language?,"More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.",English is the country's official language,384d_enhanced_top1
609,Did the Dutch build the Elmina Castle?,The Elmina Castle was built in what year?,"In 1482, the Portuguese built the Elmina Castle. Their aim was to trade in gold, ivory and slaves. In 1481 King John II of Portugal sent Diogo d'Azambuja to build this castle.",1482,384d_enhanced_top1
611,When did Ghana achieve independence from the United Kingdom?,When did Ghana become independent from the United Kingdom?,"Upon achieving independence from the United Kingdom in 1957, Peter N. Stearns and William Leonard Langer. The Encyclopedia of World History: Ancient, Medieval, and Modern, Chronologically Arranged, 2001. Page 1050.  the name Ghana was chosen for the new nation to reflect the ancient Empire of Ghana that once extended throughout much of western Africa.",1957,384d_enhanced_top1
613,How many regions is Ghana divided into?,How many regions does Ghana have?,Regions of Ghana,four,384d_enhanced_top1
615,Who is the head of state of Ghana?,Who is the head of state of Ghana?,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",President John Agyekum Kufuor,384d_enhanced_top1
617,What is the dominant religion in Ghana?,What is the dominant religion in Ghana?,"Religions: Christian 63%, African beliefs 21%, Muslim 16%,  Facts on People of Ghana, accessed July 13, 2006",Christian,384d_enhanced_top1
619,What are the two subfamilies of the Native Ghanaian languages?,What are the two subfamilies of the Native Ghanaian languages?,"More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.",Kwa,384d_enhanced_top1
621,What is the weather like at Lake Volta?,What is the weather like at Lake Volta?,"The climate is tropical. The eastern coastal belt is warm and comparatively dry (see Dahomey Gap); the southwest corner, hot and humid; and the north, hot and dry. Lake Volta, the world's largest artificial lake, extends through large portions of eastern Ghana.",tropical,384d_enhanced_top1
623,Is Ghana in Asia?,Is Ghana a country in Asia?,Regions of Ghana,no,384d_enhanced_top1
625,Is English the official language?,Is English the official language?,"Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.",Canada's two official languages,384d_enhanced_top1
627,Is Ghana's head of state John Agyekum Kufuor?,Is John Agyekum Kufuor the head of state of Ghana?,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",yes,384d_enhanced_top1
629,What does the word Ghana mean?,What is the meaning of the word Ghana?,"The Republic of Ghana is a country in West Africa. It borders CÃ´te d'Ivoire (also known as Ivory Coast) to the west, Burkina Faso to the north, Togo to the east, and the Gulf of Guinea to the south. The word ""Ghana"" means ""Warrior King"", Jackson, John G. Introduction to African Civilizations, 2001. Page 201.  and was the source of the name ""Guinea"" (via French Guinoye) used to refer to the West African coast (as in Gulf of Guinea).",warrior king,384d_enhanced_top1
631,Who was Kwame Nkrumah?,Who was Kwame Nkrumah?,"Formed from the merger of the British colony Gold Coast, The Empire of Ashanti and the British Togoland trust territory by a UN sponsored plebiscite, Ghana became the first democratic sub-Sahara country in colonial Africa to gain its independence in 1957. Kwame Nkrumah, founder and first president of the modern Ghanaian state, was not only an African anti-colonial leader but also one with a dream of a united Africa which would not drift into neo-colonialism. He was the first African head of state to espouse Pan-Africanism, an idea he came into contact with during his studies at Lincoln University in Pennsylvania (United States), at the time when Marcus Garvey was becoming famous for his ""Back to Africa Movement."" He merged the dreams of both Marcus Garvey and the celebrated African-American scholar W.E.B. Du Bois into the formation of the modern day Ghana. Ghana's principles of freedom and justice, equity and free education for all, irrespective of ethnic background, religion or creed borrow from Osagyefo Dr Kwame Nkrumah's implementation of Pan-Africanism.",founder and first president of the modern Ghanaian state,384d_enhanced_top1
633,Where is old Ghana in relation to present Ghana?,Where is Ghana in relation to present Ghana?,Regions of Ghana,Ghana is a country located in the Central African Republic.,384d_enhanced_top1
635,Who makes up Ghana's Parliament?,What is the name of Ghana's Parliament?,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",The Parliament of Ghana,384d_enhanced_top1
637,What European countries established states in Ghana?,Which European countries established states in Ghana?,Regions of Ghana,Ghanaian Democratic Republic of the Congo,384d_enhanced_top1
663,Does the Gray Wolf share an ancestry with the domestic dog?,The gray wolf is a domestic dog. It is a dog breed. Which of the following is not a domestic dog?,Dog breeds with recent wolf ancestry:,dog breeds with recent wolf ancestry,384d_enhanced_top1
665,Do wolf pups tend to have darker fur than adults?,Do wolf pups have darker fur than adults?,"Fur coloration varies greatly, running from gray to gray-brown, all the way through the canine spectrum of white, red, brown, and black. These colors tend to mix in many populations to form predominantly blended individuals, though it is certainly not uncommon for an individual or an entire population to be entirely one color (usually all black or all white). A multicolor coat characteristically lacks any clear pattern other than it tends to be lighter on the animal's underside. Fur color sometimes corresponds with a given wolf population's environment; for example, all-white wolves are much more common in areas with perennial snow cover. Aging wolves acquire a grayish tint in their coats.",Aging wolves acquire a grayish tint in their coats.,384d_enhanced_top1
667,Do wolves leave their pack?,Is a wolf a member of a pack?,"The size of the pack may change over time and is controlled by several factors, including habitat, personalities of individual wolves within a pack, and food supply. Packs can contain between 2 and 20 wolves, though 8 is a more typical size.    New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory. Lone wolves searching for other individuals can travel very long distances seeking out suitable territories. Dispersing individuals must avoid the territories of other wolves because intruders on occupied territories are chased away or killed. It is taboo for one wolf to travel into another wolf's territory unless invited. Most dogs, except perhaps large, specially bred attack dogs, do not stand much of a chance against a pack of wolves protecting its territory from an intrusion.","8 is a more typical size. New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory",384d_enhanced_top1
669,What kinds of coats do wolves have?,What kind of coats do wolves have?,"Wolves have bulky coats consisting of two layers. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is shed in the form of large tufts of fur in late spring or early summer (with yearly variations). A wolf will often rub against objects such as rocks and branches to encourage the loose fur to fall out. The undercoat is usually gray regardless of the outer coat's appearance. Wolves have distinct winter and summer pelages that alternate in spring and autumn. Females tend to keep their winter coats further into the spring than males. North American wolves typically have longer, silkier fur than their Eurasian counterparts.",bulky,384d_enhanced_top1
671,Where do wolves have scent glands?,Where do wolves have scent glands?,"Wolves have scent glands all over their bodies, including at the base of the tail, between toes, and in the eyes, genitalia, and skin.  Pheromones secreted by these glands identify each individual wolf. A dominant wolf will ""rub"" its body against subordinate wolves to mark such wolves as being members of a particular pack. Wolves may also ""paw"" dirt to release pheromones instead of urine marking.",all over their bodies,384d_enhanced_top1
673,How much do wolves weigh?,How much do wolves weigh?,"Wolf weight and size can vary greatly worldwide, tending to increase proportionally with latitude as predicted by Bergmann's Rule. In general, height varies from 0.6 to 0.95 meters (26 38 inches) at the shoulder and weight ranges from 32 to 62 kilograms (70 135 pounds), which together make the gray wolf the largest of all wild canids.    Although rarely encountered, extreme specimens of more than 77 kg (170 lb) have been recorded in Alaska and Canada.    The heaviest wild wolf on record, killed in Alaska in 1939, was 80 kg (175 lb).    The smallest wolves come from the Arabian Wolf subspecies, the females of which may weigh as little as 10 kg (22 lb) at maturity. Females in any given wolf population typically weigh about 20% less than their male counterparts.    Wolves can measure anywhere from 1.3 to 2 meters (4.5 6.5 feet) from nose to the tip of the tail, which itself accounts for approximately one quarter of overall body length.",from 32 to 62 kilograms (70 135 pounds),384d_enhanced_top1
675,Why do wolves howl?,Why do wolves howl?,"Growling, while teeth are bared, is the most visual and effective warning wolves use. Wolf growls have a distinct, deep, bass-like quality, and are often used to threaten rivals, though not necessarily to defend themselves. Wolves also growl at other wolves while being aggressively dominant. Wolves bark when nervous or when they want to warn other wolves of danger. Wolves bark very discreetly, and will not generally bark loudly or repeatedly as dogs do; rather, they use a low-key, breathy ""whuf"" sound to immediately get attention from other wolves. Wolves also ""bark-howl"" by adding a brief howl to the end of a bark. Wolves bark-howl for the same reasons they normally bark. Generally, pups bark and bark-howl much more frequently than adults, using these vocalizations to cry for attention, care, or food. A lesser known sound is the rally. Wolves will gather as a group and, amidst much tail-wagging and muzzle licking, emit a high-pitched wailing noise interspersed with something similar (but not the same as) a bark. Rallying is often a display of submission to an alpha by the other wolves.  Rally to Seneca + important information about Norwegian wolves, Wolfpaper Picture Archive (February 7, 2001)  Wolves also whimper, usually when submitting to other wolves. Wolf pups whimper when they need a reassurance of security from their parents or other wolves.",for the same reasons they normally bark,384d_enhanced_top1
677,What is surplus killing?,What is surplus killing?,"Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting. During a surplus-kill, a predator's killing instinct is continually sparked off by the stimuli of so many prey animals unable to escape, so that the predator cannot stop killing. An instance of surplus killing by wolves was witnessed in Canada's Northwest Territories by researchers coming across 34 neonatal caribou calves, scattered over three square kilometres. The wolves had eaten only a few parts from half the calves and not touched the rest. Wolves sometimes only eat a part of their surplus-killed prey, like the tail or the internal organs.",killing of several prey animals too numerous to eat at one sitting,384d_enhanced_top1
679,Are Gray Wolves native to North America?,Gray Wolves are native to North America.,Extinct Gray wolves:,what country is gray wolves from?,384d_enhanced_top1
681,Is the Gray Wolf a mammal?,Is the Gray Wolf a mammal?,Extinct Gray wolves:,yes,384d_enhanced_top1
683,Are a wolf's teeth its main weapons?,Is a wolf's teeth its main weapon?,"Wolves and most larger dogs share identical dentition. The maxilla has six incisors, two canines, eight premolars, and four molars. The mandible has six incisors, two canines, eight premolars, and six molars.    The fourth upper premolars and first lower molars constitute the carnassial teeth, which are essential tools for shearing flesh. The long canine teeth are also important, in that they are designed to hold and subdue the prey. Capable of delivering up to 10,000 kPa (1450 lbf/inÂ²) of pressure, a wolf's teeth are its main weapons as well as its primary tools.  Therefore, any injury to the jaw line or teeth could devastate a wolf, dooming it to starvation or incapacity.",yes,384d_enhanced_top1
685,Are wolves built for stamina?,Is a wolf a good runner?,"Wolves are built for stamina, possessing features ideal for long-distance travel. Their narrow chests and powerful backs and legs facilitate efficient locomotion. They are capable of covering several miles trotting at about a pace of 10 km/h (6 mph), and have been known to reach speeds approaching 65 km/h (40 mph) during a chase.    While thus sprinting, wolves can cover up to 5 meters (16 ft) per bound.","They are capable of covering several miles trotting at about a pace of 10 km/h (6 mph), and have been known to reach speeds approaching 65 km/h (40 mph) during a chase. While thus sprinting, wolves can cover up to 5 meters (16 ft) per bound.",384d_enhanced_top1
687,Where is the largest gray wolf population thought to be found?,Where is the largest gray wolf population thought to be found?,Extinct Gray wolves:,in the United States,384d_enhanced_top1
689,To what genus does the gray wolf belong?,What genus does the gray wolf belong to?,"The gray wolf is a member of the genus Canis, which comprises between 7 and 10 species. It is one of six species termed 'wolf', the others being the Red Wolf (Canis rufus), the Indian Wolf (Canis indica), the Himalayan wolf (Canis himalayaensis), the Eastern Canadian Wolf (Canis lycaon) and the Ethiopian Wolf (Canis simensis).",Canis,384d_enhanced_top1
691,When do wolves molt?,When do wolves molt?,Wolves molt in late spring or early summer.,late spring or early summer,384d_enhanced_top1
693,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,"After the alpha pair, there may also, especially in larger packs, be a beta wolf or wolves, a ""second-in-command"" to the alphas. Betas typically assume a more prominent role in assisting with the upbringing of the alpha pair's litter, often serving as surrogate mothers or fathers while the alpha pair is away. Beta wolves are the most likely to challenge their superiors for the role of the alpha, though some betas seem content with being second, and will sometimes even let lower ranking wolves leapfrog them for the position of alpha should circumstances necessitate such a happening, such as the death of the alpha. More ambitious beta wolves, however, will only wait so long before contending for alpha position unless they choose to disperse and create their own pack instead.",death of the alpha,384d_enhanced_top1
695,What type of tools do biologists use to capture wolves for tagging?,What type of tools do biologists use to capture wolves for tagging?,"Biologists may also trap wolves for research purposes. Darting and foot hold traps are the tools of choice for such professionals, who often use these and similar techniques to fit wolves and other animals with collars holding radio transmitters and to check their health before releasing them. Use of such technology also allows them to keep track of population numbers and dispersal trends, among other things. Radio collars can also be used to monitor wolves when they come near livestock, and to identify a wolf or a pack that preys on livestock, allowing proper action to be prompter and more accurate.",darting and foot hold traps,384d_enhanced_top1
697,"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",A wolf's erect ears and slightly bristle hackles are a sign of what?,"* Anger   An angry wolf's ears are erect, and its fur bristles. The lips may curl up or pull back, and the incisors are displayed. The wolf may also arch its back, lash out, or snarl.",Anger,384d_enhanced_top1
699,Was Grover Cleveland born in New York?,Grover Cleveland was born in what city?,Grover Cleveland,New York City,384d_enhanced_top1
701,Did Grover Cleveland win the 1884 election?,Who was Grover Cleveland's opponent in the 1884 election?,"Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.",James G. Blaine of Maine,384d_enhanced_top1
703,Did Grover Cleveland support women's suffrage?,Did Grover Cleveland support women's suffrage?,"Cleveland was a stout opponent of the women's suffrage (voting) movement.  In a 1905 article in The Ladies Home Journal, Cleveland wrote, ""Sensible and responsible women do not want to vote. The relative positions to be assumed by men and women in the working out of our civilization were assigned long ago by a higher intelligence.""  *",Cleveland was a stout opponent of the women's suffrage (voting) movement,384d_enhanced_top1
705,Where was Grover Cleveland married?,Where was Grover Cleveland married?,Grover Cleveland,New York City,384d_enhanced_top1
707,What did Cleveland die from?,What disease did Cleveland die from?,Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.,heart attack,384d_enhanced_top1
709,How many years after Cleveland left office did the U.S. win the Spanish-American War?,How many years after Cleveland left office did the U.S. win the Spanish-American War?,"Invoking the Monroe Doctrine in 1895, Cleveland forced Britain to agree to arbitration of a disputed boundary in Venezuela. His administration is credited with the modernization of the United States Navy that allowed the U.S. to decisively win the Spanish-American War in 1898, one year after he left office.",1,384d_enhanced_top1
711,What did Cleveland's opponents say in 1884 to counter his innocent image?,What did Cleveland's opponents say in 1884 to counter his innocent image?,Cleveland lived up to his reputation of running an efficient government.  He demanded his administration get rid of extravagances and abuses.,extravagances and abuses,384d_enhanced_top1
713,Who did Cleveland run against in 1884?,Who did Cleveland run against in 1884?,"Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.",James G. Blaine,384d_enhanced_top1
715,Why did Cleveland want to hide his cancer surgery from the public?,Why did Cleveland want to hide his cancer surgery from the public?,"After Cleveland began his second term in 1893, Doctor R.M. O'Reilly found an ulcerated sore a little less than one inch (24 mm) in diameter on the left lingual surface of Cleveland's hard palate. Initial biopsies were inconclusive; later the samples were proven to be a malignant cancer. Because of the financial depression of the country, Cleveland decided to have surgery performed on the tumor in secrecy to avoid further market panic. The surgery occurred on July 1, to give Cleveland time to make a full recovery in time for an August 7 address to Congress, which had recessed at the end of June.",Because of the financial depression of the country,384d_enhanced_top1
717,Was Grover Cleveland the twenty-seventh president of the United States?,Who was Grover Cleveland's first president?,Grover Cleveland,john f. kennedy,384d_enhanced_top1
719,Is Grover Cleveland honest?,Is Grover Cleveland honest?,Grover Cleveland,no,384d_enhanced_top1
721,Was Grover Cleveland married in the whitehouse?,Who was Grover Cleveland married to in the White House?,"Grover Cleveland was the second President married in office, and the only President married in the White House itself ",President,384d_enhanced_top1
723,"When was he elected sheriff of Erire County, New York?","On what date was he elected sheriff of Erire County, New York?","In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.",1871,384d_enhanced_top1
725,When did he die?,When did he die?,"He died at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke.  His last words were alleged to be, upon being fed some soup, ""the nourishment is palatable.""  On January 7 each year, a ceremony is held at his grave site in the Forest Lawn Cemetery in Buffalo.","March 8, 1874",384d_enhanced_top1
727,Which election did Grover Cleveland win?,Which election did Grover Cleveland win?,Grover Cleveland,Ohio House of Representatives,384d_enhanced_top1
728,Who were Grover Cleveland's parents?,Who was Grover Cleveland's father?,Grover Cleveland,Grover Cleveland,384d_enhanced_top1
730,How many children did Grover Cleveland have?,How many children did Grover Cleveland have?,Grover Cleveland,three,384d_enhanced_top1
732,Who lost control of his party to the agrarians and silverites in 1896?,Who lost control of his party to the agrarians and silverites in 1896?,"Cleveland's agrarian and silverite enemies seized control of the Democratic party in 1896, repudiated his administration and the gold standard, and nominated William Jennings Bryan on a Silver Platform. Cleveland silently supported the National Democratic Party (United States) (or ""Gold Democratic"") third party ticket that promised to defend the gold standard, limit government, and oppose protectionism. The party won only 100,000 votes in the general election (just over 1 percent). Agrarians again nominated Bryan in 1900, but in 1904 the conservatives, with Cleveland's support, regained control of the Democratic Party and nominated Alton B. Parker.",Cleveland's agrarian and silverite enemies,384d_enhanced_top1
733,Is it true that he sent in federal troops to chicago?,Is it true that he sent in federal troops to Chicago?,"Cleveland refused to allow Eugene Debs to use the Pullman Strike to shut down most of the nation's passenger, freight and mail traffic in June 1894. He obtained an injunction in federal court, and when the strikers refused to obey it, he sent in federal troops to Chicago, Illinois and 20 other rail centers. ""If it takes the entire army and navy of the United States to deliver a postcard in Chicago,"" he thundered, ""that card will be delivered."" Most governors supported Cleveland except Democrat John P. Altgeld of Illinois, who became his bitter foe in 1896.",yes,384d_enhanced_top1
