id,question,context,answer,ground_truth,context_relevance,answer_relevance,answer_faithfulness,context_precision,context_recall,context_f1
607,Is English Ghana's official language?,"More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.",English is the country's official language,English is the country's official language,0.6832798719406128,0.6345635652542114,0.4567292332649231,0.14285714285714285,0.0,0.0
609,Did the Dutch build the Elmina Castle?,"In 1482, the Portuguese built the Elmina Castle. Their aim was to trade in gold, ivory and slaves. In 1481 King John II of Portugal sent Diogo d'Azambuja to build this castle.",1482,1482,0.6311366558074951,0.04197348281741142,0.24341487884521484,0.0,0.0,0.0
611,When did Ghana achieve independence from the United Kingdom?,"Upon achieving independence from the United Kingdom in 1957, Peter N. Stearns and William Leonard Langer. The Encyclopedia of World History: Ancient, Medieval, and Modern, Chronologically Arranged, 2001. Page 1050.  the name Ghana was chosen for the new nation to reflect the ancient Empire of Ghana that once extended throughout much of western Africa.",1957,1957,0.6872861385345459,0.21930444240570068,0.23046842217445374,0.0,0.0,0.0
613,How many regions is Ghana divided into?,Regions of Ghana,four,four,0.8226420879364014,0.1838422417640686,0.06433357298374176,0.0,0.0,0.0
615,Who is the head of state of Ghana?,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",President John Agyekum Kufuor,President John Agyekum Kufuor,0.7622768878936768,0.4262975752353668,0.49678683280944824,0.25,0.0,0.0
617,What is the dominant religion in Ghana?,"Religions: Christian 63%, African beliefs 21%, Muslim 16%,  Facts on People of Ghana, accessed July 13, 2006",Christian,Christian,0.6866629123687744,0.2930201292037964,0.3685522675514221,0.0,0.0,0.0
619,What are the two subfamilies of the Native Ghanaian languages?,"More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages.",Kwa,Kwa,0.6502646207809448,0.2226060926914215,0.2823774218559265,0.0,0.0,0.0
621,What is the weather like at Lake Volta?,"The climate is tropical. The eastern coastal belt is warm and comparatively dry (see Dahomey Gap); the southwest corner, hot and humid; and the north, hot and dry. Lake Volta, the world's largest artificial lake, extends through large portions of eastern Ghana.",tropical,tropical,0.6313319206237793,0.2973518371582031,0.385977566242218,0.3333333333333333,0.0,0.0
623,Is Ghana in Asia?,Regions of Ghana,no,no,0.745669424533844,0.13422371447086334,0.08365117758512497,0.0,0.0,0.0
625,Is English the official language?,"Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.",Canada's two official languages,Canada's two official languages,0.5323666334152222,0.49815505743026733,0.8153271675109863,0.5,1.0,0.6666666666666666
627,Is Ghana's head of state John Agyekum Kufuor?,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",yes,yes,0.7299556732177734,0.19327042996883392,0.07036298513412476,0.0,0.0,0.0
629,What does the word Ghana mean?,"The Republic of Ghana is a country in West Africa. It borders CÃ´te d'Ivoire (also known as Ivory Coast) to the west, Burkina Faso to the north, Togo to the east, and the Gulf of Guinea to the south. The word ""Ghana"" means ""Warrior King"", Jackson, John G. Introduction to African Civilizations, 2001. Page 201.  and was the source of the name ""Guinea"" (via French Guinoye) used to refer to the West African coast (as in Gulf of Guinea).",warrior king,warrior king,0.6773114204406738,0.21635161340236664,0.13815024495124817,0.0,0.0,0.0
631,Who was Kwame Nkrumah?,"Formed from the merger of the British colony Gold Coast, The Empire of Ashanti and the British Togoland trust territory by a UN sponsored plebiscite, Ghana became the first democratic sub-Sahara country in colonial Africa to gain its independence in 1957. Kwame Nkrumah, founder and first president of the modern Ghanaian state, was not only an African anti-colonial leader but also one with a dream of a united Africa which would not drift into neo-colonialism. He was the first African head of state to espouse Pan-Africanism, an idea he came into contact with during his studies at Lincoln University in Pennsylvania (United States), at the time when Marcus Garvey was becoming famous for his ""Back to Africa Movement."" He merged the dreams of both Marcus Garvey and the celebrated African-American scholar W.E.B. Du Bois into the formation of the modern day Ghana. Ghana's principles of freedom and justice, equity and free education for all, irrespective of ethnic background, religion or creed borrow from Osagyefo Dr Kwame Nkrumah's implementation of Pan-Africanism.",founder and first president of the modern Ghanaian state,founder and first president of the modern Ghanaian state,0.6005314588546753,0.42332860827445984,0.666417121887207,0.5,1.0,0.6666666666666666
633,Where is old Ghana in relation to present Ghana?,Regions of Ghana,Ghana is a country located in the Central African Republic.,Ghana is a country located in the Central African Republic.,0.7552226781845093,0.7490563988685608,0.8295155167579651,1.0,1.0,1.0
635,Who makes up Ghana's Parliament?,"Ghana is a republic and member of the Commonwealth of Nations. Its head of state is President John Agyekum Kufuor, the ninth leader of the country since independence. The government sits at Osu Castle. The Parliament of Ghana is unicameral and dominated by two main parties, the New Patriotic Party and National Democratic Congress.",The Parliament of Ghana,The Parliament of Ghana,0.690442681312561,0.9091778993606567,0.6886438131332397,0.5,1.0,0.6666666666666666
637,What European countries established states in Ghana?,Regions of Ghana,Ghanaian Democratic Republic of the Congo,Ghanaian Democratic Republic of the Congo,0.6685503721237183,0.6170050501823425,0.6670321226119995,1.0,1.0,1.0
663,Does the Gray Wolf share an ancestry with the domestic dog?,Dog breeds with recent wolf ancestry:,dog breeds with recent wolf ancestry,dog breeds with recent wolf ancestry,0.7936121225357056,0.7924562692642212,0.9950620532035828,1.0,1.0,1.0
665,Do wolf pups tend to have darker fur than adults?,"Fur coloration varies greatly, running from gray to gray-brown, all the way through the canine spectrum of white, red, brown, and black. These colors tend to mix in many populations to form predominantly blended individuals, though it is certainly not uncommon for an individual or an entire population to be entirely one color (usually all black or all white). A multicolor coat characteristically lacks any clear pattern other than it tends to be lighter on the animal's underside. Fur color sometimes corresponds with a given wolf population's environment; for example, all-white wolves are much more common in areas with perennial snow cover. Aging wolves acquire a grayish tint in their coats.",Aging wolves acquire a grayish tint in their coats.,Aging wolves acquire a grayish tint in their coats.,0.6821175813674927,0.6194652318954468,0.7743077278137207,0.8,1.0,0.888888888888889
667,Do wolves leave their pack?,"The size of the pack may change over time and is controlled by several factors, including habitat, personalities of individual wolves within a pack, and food supply. Packs can contain between 2 and 20 wolves, though 8 is a more typical size.    New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory. Lone wolves searching for other individuals can travel very long distances seeking out suitable territories. Dispersing individuals must avoid the territories of other wolves because intruders on occupied territories are chased away or killed. It is taboo for one wolf to travel into another wolf's territory unless invited. Most dogs, except perhaps large, specially bred attack dogs, do not stand much of a chance against a pack of wolves protecting its territory from an intrusion.","8 is a more typical size. New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory","8 is a more typical size. New packs are formed when a wolf leaves its birth pack, finds a mate, and claims a territory",0.7265619039535522,0.57456374168396,0.7252746820449829,0.42857142857142855,0.5,0.4615384615384615
669,What kinds of coats do wolves have?,"Wolves have bulky coats consisting of two layers. The first layer is made up of tough guard hairs designed to repel water and dirt. The second is a dense, water-resistant undercoat that insulates. The undercoat is shed in the form of large tufts of fur in late spring or early summer (with yearly variations). A wolf will often rub against objects such as rocks and branches to encourage the loose fur to fall out. The undercoat is usually gray regardless of the outer coat's appearance. Wolves have distinct winter and summer pelages that alternate in spring and autumn. Females tend to keep their winter coats further into the spring than males. North American wolves typically have longer, silkier fur than their Eurasian counterparts.",bulky,bulky,0.7589684724807739,0.14420919120311737,0.1339956820011139,0.0,0.0,0.0
671,Where do wolves have scent glands?,"Wolves have scent glands all over their bodies, including at the base of the tail, between toes, and in the eyes, genitalia, and skin.  Pheromones secreted by these glands identify each individual wolf. A dominant wolf will ""rub"" its body against subordinate wolves to mark such wolves as being members of a particular pack. Wolves may also ""paw"" dirt to release pheromones instead of urine marking.",all over their bodies,all over their bodies,0.7746812701225281,0.32906484603881836,0.28895819187164307,0.0,0.0,0.0
673,How much do wolves weigh?,"Wolf weight and size can vary greatly worldwide, tending to increase proportionally with latitude as predicted by Bergmann's Rule. In general, height varies from 0.6 to 0.95 meters (26 38 inches) at the shoulder and weight ranges from 32 to 62 kilograms (70 135 pounds), which together make the gray wolf the largest of all wild canids.    Although rarely encountered, extreme specimens of more than 77 kg (170 lb) have been recorded in Alaska and Canada.    The heaviest wild wolf on record, killed in Alaska in 1939, was 80 kg (175 lb).    The smallest wolves come from the Arabian Wolf subspecies, the females of which may weigh as little as 10 kg (22 lb) at maturity. Females in any given wolf population typically weigh about 20% less than their male counterparts.    Wolves can measure anywhere from 1.3 to 2 meters (4.5 6.5 feet) from nose to the tip of the tail, which itself accounts for approximately one quarter of overall body length.",from 32 to 62 kilograms (70 135 pounds),from 32 to 62 kilograms (70 135 pounds),0.7254798412322998,0.5060550570487976,0.3980875015258789,0.08333333333333333,0.0,0.0
675,Why do wolves howl?,"Growling, while teeth are bared, is the most visual and effective warning wolves use. Wolf growls have a distinct, deep, bass-like quality, and are often used to threaten rivals, though not necessarily to defend themselves. Wolves also growl at other wolves while being aggressively dominant. Wolves bark when nervous or when they want to warn other wolves of danger. Wolves bark very discreetly, and will not generally bark loudly or repeatedly as dogs do; rather, they use a low-key, breathy ""whuf"" sound to immediately get attention from other wolves. Wolves also ""bark-howl"" by adding a brief howl to the end of a bark. Wolves bark-howl for the same reasons they normally bark. Generally, pups bark and bark-howl much more frequently than adults, using these vocalizations to cry for attention, care, or food. A lesser known sound is the rally. Wolves will gather as a group and, amidst much tail-wagging and muzzle licking, emit a high-pitched wailing noise interspersed with something similar (but not the same as) a bark. Rallying is often a display of submission to an alpha by the other wolves.  Rally to Seneca + important information about Norwegian wolves, Wolfpaper Picture Archive (February 7, 2001)  Wolves also whimper, usually when submitting to other wolves. Wolf pups whimper when they need a reassurance of security from their parents or other wolves.",for the same reasons they normally bark,for the same reasons they normally bark,0.7074998617172241,0.5769964456558228,0.5002676248550415,0.38461538461538464,1.0,0.5555555555555556
677,What is surplus killing?,"Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting. During a surplus-kill, a predator's killing instinct is continually sparked off by the stimuli of so many prey animals unable to escape, so that the predator cannot stop killing. An instance of surplus killing by wolves was witnessed in Canada's Northwest Territories by researchers coming across 34 neonatal caribou calves, scattered over three square kilometres. The wolves had eaten only a few parts from half the calves and not touched the rest. Wolves sometimes only eat a part of their surplus-killed prey, like the tail or the internal organs.",killing of several prey animals too numerous to eat at one sitting,killing of several prey animals too numerous to eat at one sitting,0.6333373188972473,0.3285667300224304,0.5788891911506653,0.6,1.0,0.7499999999999999
679,Are Gray Wolves native to North America?,Extinct Gray wolves:,what country is gray wolves from?,what country is gray wolves from?,0.7943204045295715,0.8586496114730835,0.8333585262298584,1.0,1.0,1.0
681,Is the Gray Wolf a mammal?,Extinct Gray wolves:,yes,yes,0.7537702918052673,0.19119566679000854,0.12643373012542725,0.0,0.0,0.0
683,Are a wolf's teeth its main weapons?,"Wolves and most larger dogs share identical dentition. The maxilla has six incisors, two canines, eight premolars, and four molars. The mandible has six incisors, two canines, eight premolars, and six molars.    The fourth upper premolars and first lower molars constitute the carnassial teeth, which are essential tools for shearing flesh. The long canine teeth are also important, in that they are designed to hold and subdue the prey. Capable of delivering up to 10,000 kPa (1450 lbf/inÂ²) of pressure, a wolf's teeth are its main weapons as well as its primary tools.  Therefore, any injury to the jaw line or teeth could devastate a wolf, dooming it to starvation or incapacity.",yes,yes,0.7456749677658081,0.17330503463745117,0.05810992419719696,0.0,0.0,0.0
685,Are wolves built for stamina?,"Wolves are built for stamina, possessing features ideal for long-distance travel. Their narrow chests and powerful backs and legs facilitate efficient locomotion. They are capable of covering several miles trotting at about a pace of 10 km/h (6 mph), and have been known to reach speeds approaching 65 km/h (40 mph) during a chase.    While thus sprinting, wolves can cover up to 5 meters (16 ft) per bound.","They are capable of covering several miles trotting at about a pace of 10 km/h (6 mph), and have been known to reach speeds approaching 65 km/h (40 mph) during a chase. While thus sprinting, wolves can cover up to 5 meters (16 ft) per bound.","They are capable of covering several miles trotting at about a pace of 10 km/h (6 mph), and have been known to reach speeds approaching 65 km/h (40 mph) during a chase. While thus sprinting, wolves can cover up to 5 meters (16 ft) per bound.",0.6962506771087646,0.6082045435905457,0.9569200277328491,0.75,1.0,0.8571428571428571
687,Where is the largest gray wolf population thought to be found?,Extinct Gray wolves:,in the United States,in the United States,0.7381303906440735,0.09574666619300842,0.014372941106557846,0.0,0.0,0.0
689,To what genus does the gray wolf belong?,"The gray wolf is a member of the genus Canis, which comprises between 7 and 10 species. It is one of six species termed 'wolf', the others being the Red Wolf (Canis rufus), the Indian Wolf (Canis indica), the Himalayan wolf (Canis himalayaensis), the Eastern Canadian Wolf (Canis lycaon) and the Ethiopian Wolf (Canis simensis).",Canis,Canis,0.8198700547218323,0.11876557767391205,0.322822242975235,0.0,0.0,0.0
691,When do wolves molt?,Wolves molt in late spring or early summer.,late spring or early summer,late spring or early summer,0.8698937892913818,0.42826321721076965,0.6195287704467773,1.0,1.0,1.0
693,Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,"After the alpha pair, there may also, especially in larger packs, be a beta wolf or wolves, a ""second-in-command"" to the alphas. Betas typically assume a more prominent role in assisting with the upbringing of the alpha pair's litter, often serving as surrogate mothers or fathers while the alpha pair is away. Beta wolves are the most likely to challenge their superiors for the role of the alpha, though some betas seem content with being second, and will sometimes even let lower ranking wolves leapfrog them for the position of alpha should circumstances necessitate such a happening, such as the death of the alpha. More ambitious beta wolves, however, will only wait so long before contending for alpha position unless they choose to disperse and create their own pack instead.",death of the alpha,death of the alpha,0.6690044403076172,0.2647387385368347,0.4051646292209625,0.0,0.0,0.0
695,What type of tools do biologists use to capture wolves for tagging?,"Biologists may also trap wolves for research purposes. Darting and foot hold traps are the tools of choice for such professionals, who often use these and similar techniques to fit wolves and other animals with collars holding radio transmitters and to check their health before releasing them. Use of such technology also allows them to keep track of population numbers and dispersal trends, among other things. Radio collars can also be used to monitor wolves when they come near livestock, and to identify a wolf or a pack that preys on livestock, allowing proper action to be prompter and more accurate.",darting and foot hold traps,darting and foot hold traps,0.6942133903503418,0.31366223096847534,0.45701706409454346,0.25,0.0,0.0
697,"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?","* Anger   An angry wolf's ears are erect, and its fur bristles. The lips may curl up or pull back, and the incisors are displayed. The wolf may also arch its back, lash out, or snarl.",Anger,Anger,0.6798946261405945,0.1750158965587616,0.37851837277412415,0.0,0.0,0.0
699,Was Grover Cleveland born in New York?,Grover Cleveland,New York City,New York City,0.7279573678970337,0.4615340232849121,0.31488320231437683,0.0,0.0,0.0
701,Did Grover Cleveland win the 1884 election?,"Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.",James G. Blaine of Maine,James G. Blaine of Maine,0.6624241471290588,0.1652696430683136,0.35635897517204285,0.5,0.0,0.0
703,Did Grover Cleveland support women's suffrage?,"Cleveland was a stout opponent of the women's suffrage (voting) movement.  In a 1905 article in The Ladies Home Journal, Cleveland wrote, ""Sensible and responsible women do not want to vote. The relative positions to be assumed by men and women in the working out of our civilization were assigned long ago by a higher intelligence.""  *",Cleveland was a stout opponent of the women's suffrage (voting) movement,Cleveland was a stout opponent of the women's suffrage (voting) movement,0.6973477005958557,0.7453484535217285,0.8611989617347717,0.5,1.0,0.6666666666666666
705,Where was Grover Cleveland married?,Grover Cleveland,New York City,New York City,0.7283949851989746,0.24467888474464417,0.31488320231437683,0.0,0.0,0.0
707,What did Cleveland die from?,Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.,heart attack,heart attack,0.7040307521820068,0.246552973985672,0.17576798796653748,0.0,0.0,0.0
709,How many years after Cleveland left office did the U.S. win the Spanish-American War?,"Invoking the Monroe Doctrine in 1895, Cleveland forced Britain to agree to arbitration of a disputed boundary in Venezuela. His administration is credited with the modernization of the United States Navy that allowed the U.S. to decisively win the Spanish-American War in 1898, one year after he left office.",1,1,0.6591792106628418,0.1021944135427475,0.013502979651093483,0.0,0.0,0.0
711,What did Cleveland's opponents say in 1884 to counter his innocent image?,Cleveland lived up to his reputation of running an efficient government.  He demanded his administration get rid of extravagances and abuses.,extravagances and abuses,extravagances and abuses,0.5323619842529297,0.2169591784477234,0.2929653525352478,0.5,0.0,0.0
713,Who did Cleveland run against in 1884?,"Cleveland won the Presidency in the 1884 election with the unusual combination of support from both Democrats and reform-minded Republicans called ""Mugwumps"" who denounced his opponent, former Senator James G. Blaine of Maine, as corrupt.",James G. Blaine,James G. Blaine,0.5794053673744202,0.24371416866779327,0.33210140466690063,0.5,0.0,0.0
715,Why did Cleveland want to hide his cancer surgery from the public?,"After Cleveland began his second term in 1893, Doctor R.M. O'Reilly found an ulcerated sore a little less than one inch (24 mm) in diameter on the left lingual surface of Cleveland's hard palate. Initial biopsies were inconclusive; later the samples were proven to be a malignant cancer. Because of the financial depression of the country, Cleveland decided to have surgery performed on the tumor in secrecy to avoid further market panic. The surgery occurred on July 1, to give Cleveland time to make a full recovery in time for an August 7 address to Congress, which had recessed at the end of June.",Because of the financial depression of the country,Because of the financial depression of the country,0.6923959255218506,0.2162172496318817,0.09158144891262054,0.0,0.0,0.0
717,Was Grover Cleveland the twenty-seventh president of the United States?,Grover Cleveland,john f. kennedy,john f. kennedy,0.7753110527992249,0.35867375135421753,0.5550525188446045,0.0,0.0,0.0
719,Is Grover Cleveland honest?,Grover Cleveland,no,no,0.7165791392326355,0.15086497366428375,0.10879634320735931,0.0,0.0,0.0
721,Was Grover Cleveland married in the whitehouse?,"Grover Cleveland was the second President married in office, and the only President married in the White House itself ",President,President,0.7868053913116455,0.32291996479034424,0.2623354494571686,0.0,0.0,0.0
723,"When was he elected sheriff of Erire County, New York?","In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.",1871,1871,0.5431649684906006,0.2246077060699463,0.24030578136444092,0.0,0.0,0.0
725,When did he die?,"He died at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke.  His last words were alleged to be, upon being fed some soup, ""the nourishment is palatable.""  On January 7 each year, a ceremony is held at his grave site in the Forest Lawn Cemetery in Buffalo.","March 8, 1874","March 8, 1874",0.5565249919891357,0.35118532180786133,0.376630961894989,0.2,0.0,0.0
727,Which election did Grover Cleveland win?,Grover Cleveland,Ohio House of Representatives,Ohio House of Representatives,0.7352007031440735,0.30917730927467346,0.29976773262023926,0.0,0.0,0.0
728,Who were Grover Cleveland's parents?,Grover Cleveland,Grover Cleveland,Grover Cleveland,0.7732651233673096,0.7732651233673096,1.000000238418579,0.0,0.0,0.0
730,How many children did Grover Cleveland have?,Grover Cleveland,three,three,0.7309128642082214,0.29446250200271606,0.23415978252887726,0.0,0.0,0.0
732,Who lost control of his party to the agrarians and silverites in 1896?,"Cleveland's agrarian and silverite enemies seized control of the Democratic party in 1896, repudiated his administration and the gold standard, and nominated William Jennings Bryan on a Silver Platform. Cleveland silently supported the National Democratic Party (United States) (or ""Gold Democratic"") third party ticket that promised to defend the gold standard, limit government, and oppose protectionism. The party won only 100,000 votes in the general election (just over 1 percent). Agrarians again nominated Bryan in 1900, but in 1904 the conservatives, with Cleveland's support, regained control of the Democratic Party and nominated Alton B. Parker.",Cleveland's agrarian and silverite enemies,Cleveland's agrarian and silverite enemies,0.5694395899772644,0.5121006965637207,0.598609983921051,0.2,1.0,0.33333333333333337
733,Is it true that he sent in federal troops to chicago?,"Cleveland refused to allow Eugene Debs to use the Pullman Strike to shut down most of the nation's passenger, freight and mail traffic in June 1894. He obtained an injunction in federal court, and when the strikers refused to obey it, he sent in federal troops to Chicago, Illinois and 20 other rail centers. ""If it takes the entire army and navy of the United States to deliver a postcard in Chicago,"" he thundered, ""that card will be delivered."" Most governors supported Cleveland except Democrat John P. Altgeld of Illinois, who became his bitter foe in 1896.",yes,yes,0.4795757532119751,0.10581640899181366,-0.006060905754566193,0.0,0.0,0.0
734,"Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?","Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.  He was the fifth of nine children, five sons and four daughters.  He was named Stephen Grover in honor of the first pastor of the First Presbyterian Church of Caldwell, where his father was pastor at the time.  From 1841 to 1850, he lived in Fayetteville, New York  A Walking Tour of Fayetteville , but as the church frequently transferred its ministers, the family moved many times, mainly around central and southern New York State.",yes,yes,0.7866923809051514,0.109846331179142,-0.06720157712697983,0.0,0.0,0.0
735,"Was Grover Cleveland elected Sheriff of Erie County, New York?","In 1871 Grover Cleveland was elected Sheriff of Erie County, New York. At age 44, he emerged into a political prominence that carried him to the White House in three years.   Running as a reformer, he was elected Mayor of Buffalo in 1881, with the slogan ""Public Office is a Public Trust"" as his trademark of office. One newspaper, in endorsing him, said it did so for three reasons: ""1. He is honest.  2. He is honest.  3. He is honest.""  In 1882, he was elected Governor of New York, working closely with reform-minded Republican state legislator Theodore Roosevelt.",1871,1871,0.7146745324134827,0.24576759338378906,0.24030578136444092,0.0,0.0,0.0
736,Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?,Cleveland's portrait was on the U.S. $1000 bill from 1928 to 1946. He also appeared on a $1000 bill of 1907 and the first few issues of the $20 Federal Reserve notes from 1914.,a $1000 bill of 1907 and the first few issues of the $20 Federal Reserve notes from 1914,a $1000 bill of 1907 and the first few issues of the $20 Federal Reserve notes from 1914,0.8869624137878418,0.5379034280776978,0.7654227018356323,0.5,1.0,0.6666666666666666
737,Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?,Cleveland died in 1908 from a heart attack with his wife at his side. He is buried in the Princeton Cemetery of the Nassau Presbyterian Church.,yes,yes,0.5952810645103455,0.07510458678007126,-0.076376773416996,0.0,0.0,0.0
738,Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,"President Cleveland angered railroad investors by ordering an investigation of western lands they held by government grant, involving the return of 81,000,000 acres (328,000 kmÂ²) which is the approximately equivalent to the areas of N.Y., N.J., Pa., Dela., Md., and Va.,combined. The Department of the Interior charged that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements. The lands were forfeited and became part of public domain.",yes,yes,0.7145846486091614,0.09058694541454315,0.023500021547079086,0.0,0.0,0.0
739,"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?","Under the guise of a vacation cruise, Cleveland, accompanied by lead surgeon Dr. Joseph Bryant, left for New York. Bryant, joined by his assistants Dr. John F. Erdmann, Dr. W.W. Keen Jr., Dr. Ferdinand Hasbrouck (dentist and anesthesiologist), and Dr. Edward Janeway, operated aboard E. C. Benedict's yacht Oneida as it sailed off Long Island. The surgery was conducted through the President's mouth, to avoid any scars or other signs of surgery. The team, sedating Cleveland with nitrous oxide (laughing gas), removed his upper left jaw and portions of his hard palate. The size of the tumor and the extent of the operation left Cleveland's mouth severely disfigured. During another surgery, an orthodontist fitted Cleveland with a hard rubber prosthesis that corrected his speech and covered up the surgery.",yes,yes,0.6506235599517822,0.14438681304454803,0.05365613102912903,0.0,0.0,0.0
740,He became chief engineer in the Department of Bridges and Highways in what year?,"In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways.",1894,1894,0.6894776821136475,0.1461324393749237,0.2507227957248688,0.0,0.0,0.0
741,What led Becquerel to investigate the spontaneous emission of nuclear radiation?,"In 1896, while investigating phosphorescence in uranium salts, Becquerel accidentally discovered radioactivity. Investigating the work of Wilhelm Conrad RÃ¶ntgen, Becquerel wrapped a fluorescent substance, potassium uranyl sulfate, in photographic plates and black material in preparation for an experiment requiring bright sunlight. However, prior to actually performing the experiment, Becquerel found that the photographic plates were fully exposed. This discovery led Becquerel to investigate the spontaneous emission of nuclear radiation.",Becquerel found that the photographic plates were fully exposed,Becquerel found that the photographic plates were fully exposed,0.7050449252128601,0.34309226274490356,0.5188943147659302,0.25,1.0,0.4
742,Is it true that he married louise désirée lorieux in 1890?,"On September 19, 1648, after many months of Pascal's friendly but insistent prodding, Florin PÃ©rier, husband of Pascal's elder sister Gilberte, was finally to carry out the fact finding mission vital to Pascal's theory. The account, written by PÃ©rier, reads:",no,no,0.4416996240615845,0.07123814523220062,0.07052839547395706,0.0,0.0,0.0
743,Is it true that he shared the nobel prize in physics?,"In 1903, he shared the Nobel Prize in Physics with Pierre and Marie Curie ""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"".",yes,yes,0.6548117995262146,0.11353181302547455,-0.048610080033540726,0.0,0.0,0.0
744,When did he marry louise désirée lorieux?,"Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ãcole Polytechnique and engineering at the Ãcole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.",1890,1890,0.44237157702445984,0.2022869884967804,0.08277475088834763,0.0,0.0,0.0
745,Was Becquerel elected Permanent Secretary of the Académie des Sciences?,"In 1908, the year of his death, Becquerel was elected Permanent Secretary of the AcadÃ©mie des Sciences. He died at the age of 55 in Le Croisic.",1908,1908,0.68243408203125,0.1528160125017166,0.2728099822998047,0.0,0.0,0.0
746,"Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?","Becquerel was born in Paris into a family which, including he and his son Jean, produced four generations of scientists. He studied science at the Ãcole Polytechnique and engineering at the Ãcole des Ponts et ChaussÃ©es. In 1890 he married Louise DÃ©sirÃ©e Lorieux.",yes,yes,0.9116477966308594,0.0448441319167614,-0.030850214883685112,0.0,0.0,0.0
747,Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,"In 1903, he shared the Nobel Prize in Physics with Pierre and Marie Curie ""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity"".",Pierre and Marie Curie,Pierre and Marie Curie,0.8105530738830566,0.3429277539253235,0.5575039386749268,1.0,1.0,1.0
748,Did he not die at the age of 55 in Le Croisic ?,"In 1908, the year of his death, Becquerel was elected Permanent Secretary of the AcadÃ©mie des Sciences. He died at the age of 55 in Le Croisic.",Yes,Yes,0.5276962518692017,0.035574086010456085,-0.09777641296386719,0.0,0.0,0.0
