id,question,context,answer,strategy
411,Is Egypt in Asia?,"Egypt (Egyptian: Kemet; Coptic:   KÄ«mi;     ; Egyptian Arabic:  ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Covering an area of about  , Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea.","Egypt (Egyptian: Kemet; Coptic: K«mi; ; Egyptian Arabic: ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia.",768d_top1_persona
412,Does Egypt receive the least rainfall in the world?,"Egypt receives the least rainfall in the world. South of Cairo, rainfall averages only around 2 to 5 mm (0.1 to 0.2 in) per year and at intervals of many years. On a very thin strip of the northern coast the rainfall can be as high as  , all between November and March. Snow falls on Sinai's mountains and some of the north coastal cities such as Damietta, Baltim, Sidi Barrany, etc. and rarely in Alexandria, frost is also known in mid-Sinai and mid-Egypt.",Egypt receives the least rainfall in the world,768d_top1_persona
414,Does Egypt's foreign policy operates along moderate lines?,"Egypt's foreign policy operates along moderate lines. Factors such as population size, historical events, military strength, diplomatic expertise and a strategic geographical position give Egypt extensive political influence in Africa and the Middle East. Cairo has been a crossroads of regional commerce and culture for centuries, and its intellectual and Islamic institutions are at the center of the region's social and cultural development.",Egypt's foreign policy operates along moderate lines,768d_top1_persona
416,Since when has Egypt been a republic?,"Egypt has been a republic since June 18 1953. President Mohamed Hosni Mubarak has been the President of the Republic since October 14 1981, following the assassination of former-President Mohammed Anwar El-Sadat. Mubarak is currently serving his fifth term in office. He is the leader of the ruling National Democratic Party. Prime Minister Dr. Ahmed Nazif was sworn in as Prime Minister on 9 July 2004, following the resignation of Dr. Atef Ebeid from his office.",June 18 1953,768d_top1_persona
418,When were the Great Sphinx and the Pyramids of Giza built?,"The Great Sphinx and the Pyramids of Giza, built during the Old Kingdom, are modern national icons that are  at the heart of Egypt's thriving tourism industry.","The Great Sphinx and the Pyramids of Giza, built during the Old Kingdom, are modern national icons that are at the heart of Egypt's thriving tourism industry.",768d_top1_persona
420,What countries border Egypt?,"Egypt (Egyptian: Kemet; Coptic:   KÄ«mi;     ; Egyptian Arabic:  ), officially the Arab Republic of Egypt, is a country in North Africa that includes the Sinai Peninsula, a land bridge to Asia. Covering an area of about  , Egypt borders Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east. The northern coast borders the Mediterranean Sea and the island of Cyprus; the eastern coast borders the Red Sea.","Libya to the west, Sudan to the south, and the Gaza Strip and Israel to the east",768d_top1_persona
422,What is the estimated population of Egypt?,"Egypt is one of the most populous countries in Africa. The great majority of its estimated 78 million people (2007) live near the banks of the Nile River in an area of about   where the only arable agricultural land is found. The large areas of the Sahara Desert are sparsely inhabited. About half of Egypt's residents live in urban areas, with the majority spread across the densely populated centers of greater Cairo, Alexandria and other major cities in the Nile Delta.",78 million people,768d_top1_persona
424,Does snow fall in Egypt?,"Egypt receives the least rainfall in the world. South of Cairo, rainfall averages only around 2 to 5 mm (0.1 to 0.2 in) per year and at intervals of many years. On a very thin strip of the northern coast the rainfall can be as high as  , all between November and March. Snow falls on Sinai's mountains and some of the north coastal cities such as Damietta, Baltim, Sidi Barrany, etc. and rarely in Alexandria, frost is also known in mid-Sinai and mid-Egypt.","Snow falls on Sinai's mountains and some of the north coastal cities such as Damietta, Baltim, Sidi Barrany, etc. and rarely in Alexandria, frost is also known in mid-Sinai and mid-Egypt.",768d_top1_persona
426,When did organized agriculture appear in the Nile Valley?,"The Nile has been a site of continuous human habitation since at least the Paleolithic era. Evidence of this appears in the form of artifacts and rock carvings along the Nile terraces and in the desert oases. In the 10th millennium BC, a culture of hunter-gatherers and fishers replaced a grain-grinding culture. Climate changes and/or overgrazing around 8000 BC began to desiccate the pastoral lands of Egypt,  forming the Sahara. Early tribal peoples migrated to the Nile River where they developed a settled agricultural economy and more centralized society. Midant-Reynes, BÃ©atrix. The Prehistory of Egypt: From the First Egyptians to the First Kings. Oxford: Blackwell Publishers.","Early tribal peoples migrated to the Nile River where they developed a settled agricultural economy and more centralized society. Midant-Reynes, Batrix. The Prehistory of Egypt: From the First Egyptians to the First Kings. Oxford: Blackwell Publishers.",768d_top1_persona
428,Are elephants the largest land animals alive today?,"Under the new two species classification, Loxodonta africana refers specifically to the Savanna Elephant, the largest of all elephants. In fact, it is the largest land animal in the world, standing up to 4 m (13 ft) at the shoulder and weighing approximately 7,000 kg (7.7 tons). The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500â6000 kg (6.1â6.6 tons), the female being much smaller. Most often, Savanna Elephants are found in open grasslands, marshes, and lakeshores. They range over much of the savanna zone south of the Sahara.","It is the largest land animal in the world, standing up to 4 m (13 ft) at the shoulder and weighing approximately 7,000 kg (7.7 tons). The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500â6000 kg (6.1â6.6 tons), the female being much smaller. Most often, Savanna Elephants are found in open grasslands, marshes, and lakeshores. They range over much of the savanna zone south of the Sahara.",768d_top1_persona
430,Can an elephant kill a rhinoceros?,"Elephants are increasingly threatened by human intrusion and poaching. Once numbering in the millions, the African elephant population has dwindled to between 470,000 and 690,000 individuals.    The elephant is now a protected species worldwide, with restrictions in place on capture, domestic use, and trade in products such as ivory. Elephants generally have no natural predators, although lions may take calves and occasionally adults. A. J. Loveridge, J. E. Hunt, F. Murindagomo   D. W. Macdonald. (2006) Influence of drought on predation of elephant (Loxodonta africana) calves by lions (Panthera leo) in an African wooded savannah. Journal of Zoology 270:3, 523â530     In some areas, lions may regularly take to preying on elephants. Hemson, Graham (2003) The Ecology and Conservation of Lions: Human-Wildlife Conflict in semi-arid Botswana. Ph. D. Thesis, University of Oxford.","In some areas, lions may regularly take to preying on elephants.",768d_top1_persona
432,Are elephants good swimmers?,An Asian elephant swimming.,Yes,768d_top1_persona
434,How many living species of African Elephants are there?,"there are approximately between 470,000 and 690,000 African elephants in the wild. Although this estimate only covers about half of the total elephant range, experts do not believe the true figure to be much higher, as it is unlikely that large populations remain to be discovered.    By far the largest populations are now found in Southern and Eastern Africa, which together account for the majority of the continental population. According to a recent analysis by IUCN experts, most major populations in Eastern and Southern Africa are stable or have been steadily increasing since the mid-1990s, at an average rate of 4.5% per annum.    Blanc et al. 2007, op. cit.","between 470,000 and 690,000",768d_top1_persona
436,How long may elephants live?,"After a twenty-two-month pregnancy, the mother will give birth to a calf that will weigh about 113 kg (250 lb) and stand over 76 cm (2.5 ft) tall. Elephants have a very long childhood. They are born with fewer survival instincts than many other animals. Instead, they must rely on their elders to teach them the things they need to know. Today, however, the pressures humans have put on the wild elephant populations, from poaching to habitat destruction, mean that the elderly often die at a younger age, leaving fewer teachers for the young.",very long childhood,768d_top1_persona
438,Why does the phrase 'elephants never forget' have no metaphorical meaning?,"* The phrase 'elephants never forget' has no metaphorical meaning, it refers literally to elephants supposedly having an excellent memory.",it refers literally to elephants supposedly having an excellent memory,768d_top1_persona
440,How many living species of Asian Elephants are there?,"The world population of Asian elephants â also called Indian Elephants or Elephas maximus â is estimated to be around 60,000, about a tenth of the number of African elephants. More precisely, it is estimated that there are between 38,000 and 53,000 wild elephants and between 14,500 and 15,300 domesticated elephants in Asia with perhaps another 1,000 scattered around zoos in the rest of the world.    The Asian elephants' decline has possibly been more gradual with the causes primarily being poaching and habitat destruction by human encroachment.","between 38,000 and 53,000 wild elephants and between 14,500 and 15,300 domesticated elephants in Asia with perhaps another 1,000 scattered around zoos in the rest of the world",768d_top1_persona
442,How much do elephants weight at birth?,"After a twenty-two-month pregnancy, the mother will give birth to a calf that will weigh about 113 kg (250 lb) and stand over 76 cm (2.5 ft) tall. Elephants have a very long childhood. They are born with fewer survival instincts than many other animals. Instead, they must rely on their elders to teach them the things they need to know. Today, however, the pressures humans have put on the wild elephant populations, from poaching to habitat destruction, mean that the elderly often die at a younger age, leaving fewer teachers for the young.",113 kg (250 lb),768d_top1_persona
444,What did Aristotle say about elephants?,"Elephants are symbols of wisdom in Asian cultures, and are famed for their memory and high intelligence, and are thought to be on par with cetaceans    and hominids   . Aristotle once said the elephant was ""the beast which passeth all others in wit and mind.""","""the beast which passeth all others in wit and mind.""",768d_top1_persona
446,Are elephant populations in West Africa generally small and fragmented?,"Elephant populations in West Africa, on the other hand, are generally small and fragmented, and only account for a small proportion of the continental total.    ",generally small and fragmented,768d_top1_persona
448,Is the Asian elephant larger than the African?,"African elephants, at up to 4 m (13 ft 1 in) tall and weighing 7500 kg (8.27 short tons), are usually  larger than the Asian species and they have bigger ears. Both male and female African elephants have long tusks, while their Asian counterparts have shorter ones, with those of females vanishingly small. African elephants have a dipped back, smooth forehead and two ""fingers"" at the tip of their trunks, whereas the Asian have an arched back, two humps on the forehead and only one ""finger"" at the tip of their trunks.","African elephants, at up to 4 m (13 ft 1 in) tall and weighing 7500 kg (8.27 short tons), are usually larger than the Asian species",768d_top1_persona
450,Is an elephant's skin tough?,Skin of an African elephant,The skin of an African elephant is tough.,768d_top1_persona
452,How do elephants communicate over long distances?,"Elephants communicate over long distances by producing and receiving low-frequency sound (infrasound), a sub-sonic rumbling, which can travel through the ground farther than sound travels through the air. This can be felt by the sensitive skin of an elephant's feet and trunk, which pick up the resonant vibrations much as the flat skin on the head of a drum. To listen attentively, every member of the herd will lift one foreleg from the ground, and face the source of the sound, or often lay its trunk on the ground. The lifting presumably increases the ground contact and sensitivity of the remaining legs. This ability is thought also to aid their navigation by use of external sources of infrasound. Discovery of this new aspect of elephant social communication and perception came with breakthroughs in audio technology, which can pick up frequencies outside the range of the human ear. Pioneering research in elephant infrasound communication was done by Katy Payne, of the Elephant Listening Project,    and is detailed in her book Silent Thunder. Though this research is still in its infancy, it is helping to solve many mysteries, such as how elephants can find distant potential mates, and how social groups are able to coordinate their movements over extensive range.",by producing and receiving low-frequency sound (infrasound),768d_top1_persona
454,When do African elephants lie down?,"An elephant's legs are great straight pillars, as they must be to support its bulk. The elephant needs less muscular power to stand because of its straight legs and large pad-like feet. For this reason an elephant can stand for very long periods of time without tiring. In fact, African elephants rarely lie down unless they are sick or wounded. Indian elephants, in contrast, lie down frequently.",unless they are sick or wounded,768d_top1_persona
455,How long is the elephant's gestation period?,"Females (cows) reach sexual maturity at around 9â12 years of age and become pregnant for the first time, on average, around age 13. They can reproduce until ages 55â60. Females give birth at intervals of about 5 years. Their gestation (pregnancy) period lasts about 22 months (630â660 days), the longest gestation period of any mammal, after which typically one calf is born. Twins are rare. Labour ranges in length from 5 minutes to 60 hours. The average length of labour is 11 hours. At birth, calves weigh around 90â115 kg (200â250 lb), and they gain 1 kg (2â2.5 lb) a day. In the wild, the mother is accompanied by other adult females (aunts), who protect the young, and baby elephants are raised and nurtured by the whole family group, practically from the moment of birth.",22 months,768d_top1_persona
457,How many species of African elephants have been proposed?,"there are approximately between 470,000 and 690,000 African elephants in the wild. Although this estimate only covers about half of the total elephant range, experts do not believe the true figure to be much higher, as it is unlikely that large populations remain to be discovered.    By far the largest populations are now found in Southern and Eastern Africa, which together account for the majority of the continental population. According to a recent analysis by IUCN experts, most major populations in Eastern and Southern Africa are stable or have been steadily increasing since the mid-1990s, at an average rate of 4.5% per annum.    Blanc et al. 2007, op. cit.","between 470,000 and 690,000",768d_top1_persona
459,What are the elephant's ears important for?,"The ears are also used in certain displays of aggression and during the males' mating period. If an elephant wants to intimidate a predator or rival, it will spread its ears out wide to make itself look more massive and imposing. During the breeding season, males give off an odour from a gland located behind their eyes. Joyce Poole, a well-known elephant researcher, has theorized that the males will fan their ears in an effort to help propel this ""elephant cologne"" great distances.",aggression and during the males' mating period,768d_top1_persona
461,What land animal has the largest brain?,"Human, dolphin and elephant brains up to scale. (1)-cerebrum (1a)-temporal lobe and (2)-cerebellum ",elephant,768d_top1_persona
463,Are elephants mammals?,"Elephants (Elephantidae) are a family in the order Proboscidea in the class Mammalia. They were once classified along with other thick skinned animals in a now invalid order, Pachydermata. There are three living species: the African Bush Elephant, the African Forest Elephant (until recently known collectively as the African Elephant), and the Asian Elephant (also known as the Indian Elephant). Other species have become extinct since the last ice age, which ended about 10,000 years ago, the Mammoth being the most well-known of these.","They were once classified along with other thick skinned animals in a now invalid order, Pachydermata. There are three living species: the African Bush Elephant, the African Forest Elephant (until recently known collectively as the African Elephant), and the Asian Elephant (also known as the Indian Elephant). Other species have become extinct since the last ice age, which ended about 10,000 years ago, the Mammoth being the most well-known of these.",768d_top1_persona
465,Have elephants been used as working animals?,"Throughout Siam, India, and most of South Asia elephants were used in the military for heavy labour, especially for uprooting trees and moving logs, and were also commonly used as executioners to crush the condemned underfoot.","elephants were used in the military for heavy labour, especially for uprooting trees and moving logs, and were also commonly used as executioners to crush the condemned underfoot.",768d_top1_persona
467,Do they prefer forested areas?,"Forests cover approximately 60% of the country.    In Sumatra and Kalimantan, these are predominantly of Asian species. However, the forests of the smaller, and more densely populated Java, have largely been removed for human habitation and agriculture. Sulawesi, Nusa Tenggara, and Maluku having been long separated from the continental landmasses have developed their own unique flora and fauna.  ;    Papua was part of the Australian landmass, and is home to a unique fauna and flora closely related to that of Australia, including over 600 bird species.","These are predominantly of Asian species. However, the forests of the smaller, and more densely populated Java, have largely been removed for human habitation and agriculture. Sulawesi, Nusa Tenggara, and Maluku having been long separated from the continental landmasses have developed their own unique flora and fauna. ; Papua was part of the Australian landmass, and is home to a unique fauna and flora closely related to that of Australia, including over 600 bird species.",768d_top1_persona
469,What is the world population of Asian elephants?,"The world population of Asian elephants â also called Indian Elephants or Elephas maximus â is estimated to be around 60,000, about a tenth of the number of African elephants. More precisely, it is estimated that there are between 38,000 and 53,000 wild elephants and between 14,500 and 15,300 domesticated elephants in Asia with perhaps another 1,000 scattered around zoos in the rest of the world.    The Asian elephants' decline has possibly been more gradual with the causes primarily being poaching and habitat destruction by human encroachment.","around 60,000",768d_top1_persona
471,What part of an elephant is very important for temperature regulation?,"Wallowing also aids the skin in regulating body temperatures. Elephants have difficulty in releasing heat through the skin because, in proportion to their body size, they have very little of it. The ratio of an elephant's mass to the surface area of its skin is many times that of a human. Elephants have even been observed lifting up their legs to expose the soles of their feet, presumably in an effort to expose more skin to the air. Since wild elephants live in very hot climates, they must have other means of getting rid of excess heat.",skin,768d_top1_persona
473,Where was the largest elephant ever recorded shot?,"Under the new two species classification, Loxodonta africana refers specifically to the Savanna Elephant, the largest of all elephants. In fact, it is the largest land animal in the world, standing up to 4 m (13 ft) at the shoulder and weighing approximately 7,000 kg (7.7 tons). The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500â6000 kg (6.1â6.6 tons), the female being much smaller. Most often, Savanna Elephants are found in open grasslands, marshes, and lakeshores. They range over much of the savanna zone south of the Sahara.",Sahara,768d_top1_persona
475,Is an Asian elephant smaller than an African elephant?,"The Asian elephant is smaller than the African. It has smaller ears, and typically, only the males have large external tusks.",yes,768d_top1_persona
478,What land animal is larger than an elephant?,"Under the new two species classification, Loxodonta africana refers specifically to the Savanna Elephant, the largest of all elephants. In fact, it is the largest land animal in the world, standing up to 4 m (13 ft) at the shoulder and weighing approximately 7,000 kg (7.7 tons). The average male stands about 3 m (10 ft) tall at the shoulder and weighs about 5500â6000 kg (6.1â6.6 tons), the female being much smaller. Most often, Savanna Elephants are found in open grasslands, marshes, and lakeshores. They range over much of the savanna zone south of the Sahara.","male standing about 3 m (10 ft) tall at the shoulder and weighs about 5500â6000 kg (6.1â6.6 tons), the female being much smaller",768d_top1_persona
479,Has tusklessness become a rare abnormality?,"The harvest of elephants, both legal and illegal, has had some unexpected consequences on elephant anatomy as well. African ivory hunters, by killing only tusked elephants, have given a much larger chance of mating to elephants with small tusks or no tusks at all. The propagation of the absent-tusk gene has resulted in the birth of large numbers of tuskless elephants, now approaching 30% in some populations (compare with a rate of about 1% in 1930). Tusklessness, once a very rare genetic abnormality, has become a widespread hereditary trait.","Tusklessness, once a very rare genetic abnormality, has become a widespread hereditary trait.",768d_top1_persona
481,Were the treaties signed in 1947 and 1948 with the Ukraine?,"The treaties signed in 1947 and 1948 with the Soviet Union included Finnish obligations, restraints, and reparations as well as further Finnish territorial concessions (cf. the Moscow Peace Treaty of 1940). Finland ceded most of Finnish Karelia, Salla, and Pechenga, which amounted to ten percent of its land area and twenty percent of its industrial capacity. Some 400,000 evacuees, mainly women and children, fled these areas. Establishing trade with the Western powers, such as Great Britain, and the reparations to the Soviet Union caused Finland to transform itself from a primarily agrarian economy to an industrialised one. Even after the reparations had been paid off, Finland continued to trade with the Soviet Union in the framework of bilateral trade.",No,768d_top1_persona
483,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,"Most of the Finnish people (92 percent   ) speak Finnish as their mother tongue. Finnish is a member of the  Baltic-Finnic subgroup of the Uralic languages and is typologically between inflected and agglutinative languages. It modifies and inflects the forms of nouns, adjectives, pronouns, numerals and verbs, depending on their roles in the sentence. In practice, this means that instead of prepositions and prefixes there is a great variety of different suffixes and that compounds form a considerable percentage of the vocabulary of Finnish. It has been estimated that approximately 65â70 percent of all words in Finnish are compounds.    A close linguistic relative to the Finnish language is Estonian, which, though similar in many aspects, is not mutually intelligible with it. These languages, together with Hungarian (all members of the Uralic language family), are the primary non-Indo-European languages spoken in Europe.  Finland, together with Estonia and Hungary, is one of the three independent countries where an Uralic language is spoken by the majority.","It modifies and inflects the forms of nouns, adjectives, pronouns, numerals and verbs, depending on their roles in the sentence. In practice, this means that instead of prepositions and prefixes there is a great variety of different suffixes and that compounds form a considerable percentage of the vocabulary of Finnish. It has been estimated that approximately 65â70 percent of all words in Finnish are compounds.",768d_top1_persona
485,Is the most read newspaper in Finland Taloussanomat?,"Finns, along with other Nordic people and the Japanese, spend the most time in the world reading newspapers. The most read newspaper in Finland is Helsingin Sanomat, with a circulation of 434,000. The media group SanomaWSOY behind Helsingin Sanomat also publishes the tabloid Ilta-Sanomat and commerce-oriented Taloussanomat. It also owns the Nelonen television channel. SanomaWSOY's largest shareholder is Aatos Erkko and his family. The other major publisher Alma Media publishes over thirty magazines, including newspaper Aamulehti, tabloid Iltalehti and commerce-oriented Kauppalehti. Finland has been at the top of the worldwide Press Freedom Ranking list every year since the publication of the first index by Reporters Without Borders in 2002.",Taloussanomat,768d_top1_persona
487,Which Russian army general conquered Finland in 1809?,"On March 29 1809, after being conquered by the armies of Alexander I of Russia in the Finnish War, Finland became an autonomous Grand Duchy in the Russian Empire until the end of 1917. During the Russian era, the Finnish language started to gain recognition, first probably to sever the cultural and emotional ties with Sweden and thereafter, from the 1860s onwards, as a result of a strong nationalism, known as the Fennoman movement. Milestones included the publication of what would become Finland's national epic, the Kalevala, in 1835; and the Finnish language achieving equal legal status with Swedish in 1892.",Alexander I,768d_top1_persona
489,What is the life expectancy for men in Finland?,The life expectancy is 82 years for women and 75 years for men.,75 years,768d_top1_persona
491,"In what year were the ""Games of the XV Olympiad"" held?","The 1952 Summer Olympics, officially known as the Games of the XV Olympiad, were held in 1952 in Helsinki, Finland. Other notable sporting events held in Finland include the 1983 and 2005 World Championships in Athletics, among others.",1952,768d_top1_persona
493,What body of water lies to the south of Finland?,"Finland is a country of thousands of lakes and islands; 187,888 lakes (larger than 500 mÂ²) and 179,584 islands to be precise.    One of these lakes, Saimaa, is the fifth largest in Europe. The Finnish landscape is mostly flat with few hills and its highest point, the Halti at 1,324 metres, is found in the extreme north of Lapland at the border between Finland and Norway.",Lapland,768d_top1_persona
495,Name an animal that is growing in number due to recent conservation efforts,"Due to hunting and persecution in history, many animals such as the Golden Eagle, Brown Bear and Eurasian Lynx all experienced significant declines in population. However, their numbers have increased again in the 2000s, mainly as a result of careful conservation and the establishment of vast national parks.","Golden Eagle, Brown Bear and Eurasian Lynx",768d_top1_persona
497,"Today, are there more cell phone subscriptions than people in Finland?","The people of Finland are accustomed to technology and information services. The number of cellular phone subscribers as well as the number of Internet connections per capita in Finland are among the highest in the world. According to the Ministry of Transport and Communications, Finnish mobile phone penetration exceeded fifty percent of the population as far back as August 1998 â first in the world â and by December 1998 the number of cell phone subscriptions outnumbered fixed-line phone connections. By the end of June 2007 there were 5.78 million cellular phone subscriptions, or 109 percent of the population.",Yes,768d_top1_persona
499,Is Matti Vanhanen the Prime Minister of Finland?,"Prime Minister of Finland Matti Vanhanen eight days prior the Finnish parliamentary election, 2007.",yes,768d_top1_persona
501,Is the capital city Oslo?,"Jakarta, the capital of Indonesia and its largest commercial center",no,768d_top1_persona
503,Does it have a border with Norway?,"#Svalbard, Norway",yes,768d_top1_persona
505,What is the life expectancy for men?,The life expectancy is 82 years for women and 75 years for men.,75 years,768d_top1_persona
507,What is the biggest city in Finland?,"Finland currently numbers 5,290,158 inhabitants and has an average population density of 17 inhabitants per square kilometre.  This makes it, after Norway and Iceland, the most sparsely populated country in Europe. Finland's population has always been concentrated in the southern parts of the country, which is even more pronounced after twentieth-century urbanisation. The biggest and most important cities in Finland are the cities of the Greater Helsinki metropolitan area - Helsinki, Vantaa, Espoo and Kauniainen - some of the other big cities include Tampere, Turku and Oulu.",Helsinki,768d_top1_persona
509,Who is the most popular rock group in Finland?,"Arguably one of Finland's most domestically popular rock groups is CMX. Although this group is not widely known outside of the country, bassist Billy Gould of popular U.S. rock group Faith No More produced CMX's 1998 album Vainajala. Ravelin, Antti. ""CMX Biography."" AOL Music.",CMX,768d_top1_persona
511,What is Finland's economy like?,"Finland has a highly industrialised, free-market economy with a per capita output equal to that of other western economies such as Sweden, the UK, France and Germany. The largest sector of the economy is services at 65.7 percent, followed by manufacturing and refining at 31.4 percent. Primary production is low at 2.9 percent, reflecting the fact that Finland is a resource-poor country.    With respect to foreign trade, the key economic sector is manufacturing. The largest industries    are electronics (21.6 percent), machinery, vehicles and other engineered metal products (21.1 percent), forest industry (13.1 percent), and chemicals (10.9 percent). International trade is important, with exports equalling almost one-third of GDP. Except for timber and several minerals, Finland depends on imports of raw materials, energy and some components for manufactured goods.","highly industrialised, free-market economy",768d_top1_persona
512,Where is Finland located?,Provinces of Finland,Finland is a country in the Nordic region of Europe.,768d_top1_persona
514,What is the weather like in summer?,"The coolest month is June, while the warmest is January. The rainfall is equally distributed throughout the year, but tends to be a bit more frequent in the autumn months. There can be frequent thunderstorms in the summer. Although snow is not very common, it snowed in 1913, 1918, 1963, 1989, 1992, and 2007.    ",thunderstorms,768d_top1_persona
516,Does salmon remain the favorite of fly rod enthusiasts?,"A few specialized species such as the smew, goosander, and the mergansers are adapted to catch large fish.","smew, goosander, and the mergansers are adapted to catch large fish.",768d_top1_persona
518,Are there cathedrals scattered all across Finland?,"Finland is also a place rich in culture for history, tradition and religion. There are churches and cathedrals scattered all across Finland reflecting the strong Finnish Lutheran following. There are also museums and examples of ancient architecture remaining from the reign of the Swedish Empire over much of Finland. These sites allure thousands for their significance and historical insight. Castles from the Swedish reign are found, for example in Turku, HÃ¤meenlinna and Savonlinna. The Turku Castle is a museum. Olavinlinna in Savonlinna hosts the annual Savonlinna Opera Festival. The capital city of Helsinki, on the other hand, is famous for its Grand Duchy era architecture, which resembles that of imperial St. Petersburg.",There are churches and cathedrals scattered all across Finland,768d_top1_persona
520,"According to Reader's Digest, is Finland best for living?","Finland was rated the best country to live in by Reader's Digest study released in October 2007, which looked at issues such as quality of drinking water and greenhouse gas emissions as well as factors such as education and income.   Reader's Digest study says Finland best for living",yes,768d_top1_persona
522,When did the first verifiable written documents appear?,The first verifiable written documents appeared in the twelfth century.,twelfth century,768d_top1_persona
524,What is the capital city?,"Jakarta, the capital of Indonesia and its largest commercial center",Jakarta,768d_top1_persona
526,What is the most extensively celebrated holiday?,"All official holidays in Finland are established by acts of Parliament. The official holidays can be divided into Christian and secular holidays, although some of the Christian holidays have replaced holidays of pagan origin. The main Christian holidays are Christmas, Epiphany, Easter, Ascension Day, Pentecost, and All Saints Day. The secular holidays are New Year's Day, May Day, Midsummer Day, and the Independence Day. Christmas is the most extensively celebrated holiday: usually at least 23rd to 26th of December are holidays.",Christmas,768d_top1_persona
528,Does a large proportion of the population speak Swedish as its mother tongue?,"The largest minority language is Swedish, which is the second official language in Finland, spoken by 5.5 percent of the population.    Other minority languages are Russian (0.8 percent   ) and Estonian (0.3 percent   ). To the north, in Lapland, are also the Sami people, numbering around 7,000 According to the Finnish Population Registry Center and the Finnish Sami parliament, the Sami population living in Finland was 7,371 in 2003. See  Regional division of Sami people in Finland by age in 2003 (in Finnish).  and recognized as an indigenous people. About a quarter of them speaks a Sami language as their mother tongue.  There are three Sami languages that are spoken in Finland: Northern Sami, Inari Sami and Skolt Sami. Unofficial names for Finland in Sami languages are: Suopma (Northern Sami), SuomÃ¢ (Inari Sami) and LÃ¤Ã¤Â´ddjÃ¢nnam (Skolt Sami). See .  Other minority languages are Finnish Romani, Finnish Sign Language (spoken natively by 4,000â5,000 people  /ref>) and Finland-Swedish Sign Language (spoken natively by about 150 people). The rights of minority groups (in particular Sami and Romani people) to cherish their culture and language is protected by the constitution.",About a quarter of them speaks a Sami language as their mother tongue,768d_top1_persona
529,Do women live longer than men?,The life expectancy is 82 years for women and 75 years for men.,The life expectancy is 82 years for women and 75 years for men. The life expectancy is 82 years for women and 75 years for men.,768d_top1_persona
532,What is a country with which Finland is involved in an international conflict?,"The military doctrine is strictly self-defensive, and indeed, the Constitution of Finland only allows participation in military operations authorised by the UN or the OSCE. Public opinion is against joining any military alliances, such as NATO, although Finland is involved in the Partnership for Peace programme with NATO. Foreign trade is highly important, as about a third of the gross domestic product comes from foreign trade, and Finland depends on imports for most raw materials.",NATO,768d_top1_persona
557,Was Ford a member of the House of Representatives?,"Ford was a member of the House of Representatives for twenty-four years, holding the Grand Rapids congressional district seat from 1949 to 1973. It was a tenure largely notable for its modesty. As an editorial in The New York Times described him, Ford ""saw himself as a negotiator and a reconciler, and the record shows it: he did not write a single piece of major legislation in his entire career.""    ","Ford was a member of the House of Representatives for twenty-four years, holding the Grand Rapids congressional district seat from 1949 to 1973",768d_top1_persona
559,For how long was Ford a member of the House of Representatives?,"Prior to 1973, Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives; he was originally elected to Congress in 1948 from Michigan's 5th congressional district.",eight years,768d_top1_persona
561,Was Gerald Ford a member of Delta Kappa Epsilon?,* Wilson was a member of the Phi Kappa Psi fraternity.,No,768d_top1_persona
563,"Did ford get an award called ""Congressman's congressman""?","During his first campaign in 1948, Ford visited farmers and promised he would work on their farms and milk the cows if elected a promise he fulfilled.    In 1961, the U.S. House membership voted Ford a special award as a ""Congressman's Congressman"" that praised his committee work on military budgets.","voted Ford a special award as a ""Congressman's Congressman"" that praised his committee work on military budgets.",768d_top1_persona
565,Did ford attend the University of Michigan?,"Ford as a University of Michigan football player, 1933",Yes,768d_top1_persona
567,What positions Ford played in the school football team?,"Attending the University of Michigan as an undergraduate, Ford played center and linebacker for the schoolâs football team and helped the Wolverines to undefeated seasons and national titles in 1932 and 1933. The team suffered a steep decline in his 1934 senior year, however, winning only one game. Ford was the teamâs star nonetheless, and after a game during which Michigan held heavily favored Minnesota (the eventual national champion) to a scoreless tie in the first half, assistant coach Bennie Oosterbaan later said, âWhen I walked into the dressing room at half time, I had tears in my eyes I was so proud of them.  Ford and [Cedric] Sweet played their hearts out. They were everywhere on defense.â Ford himself later recalled, âDuring 25 years in the rough-and-tumble world of politics, I often thought of the experiences before, during, and after that game in 1934. Remembering them has helped me many times to face a tough situation, take action, and make every effort possible despite adverse odds.â  His teammates later voted Ford their most valuable player, with one assistant coach noting, âThey felt Jerry was one guy who would stay and fight in a losing cause.â    ",center and linebacker,768d_top1_persona
